rank,longitude,latitude,elevation,slope,aspect,tri,lith_score,prob,composite,ecoregion,cell,composite_norm,confidence,prob_v4_final,comp_v4_final_norm
1,-122.84194444361265,45.17527777397879,56.367203,0.26003274,59.145752,0.10030508,1.0,0.9954252334680086,0.9963401867744068,west,45.0_-123.0,1.0,high,,
2,-120.13361110736577,46.30027777518904,205.2456817626953,0.0,0.0,0.0,1.0,0.8037579422758391,0.8430063538206714,east,46.0_-120.0,1.0,improved (AUC 0.846),0.4872,0.676
3,-117.75861110481078,46.675277775592455,195.6968231201172,0.0,0.0,0.0,1.0,0.8037579422758391,0.8430063538206714,east,47.0_-118.0,1.0,improved (AUC 0.846),0.5321,0.7171
4,-117.38361110440736,46.63361110888096,225.07000732421875,0.0,0.0,0.0,1.0,0.8023213150683729,0.8418570520546984,east,47.0_-117.0,0.9941169053087406,improved (AUC 0.846),0.5321,0.7171
5,-120.53638888557684,46.35583333080436,241.78399658203125,0.0,0.0,0.0,1.0,0.8023213150683729,0.8418570520546984,east,46.0_-121.0,0.9941169053087406,improved (AUC 0.846),0.4905,0.6789
6,-122.25861110965178,48.5780555554172,52.823853,0.20242251,61.97147,0.27162552,1.0,0.9906339447302912,0.9925071557842332,west,49.0_-122.0,0.9862811761823272,high,,
7,-122.60583333224751,45.82805555245881,59.44815,0.3268856,66.65346,0.25330162,1.0,0.9897364036807748,0.9917891229446198,west,46.0_-123.0,0.9837112606123226,high,,
8,-122.0919444428058,47.466944443110776,52.856438,1.3497742,63.884842,0.5788255,1.0,0.9896160083110956,0.9916928066488764,west,47.0_-122.0,0.9833665343903164,high,,
9,-123.53638888880415,48.13361111049464,56.379414,0.7011714,56.71544,0.3138399,1.0,0.9863082874856964,0.9890466299885572,west,48.0_-124.0,0.973895587902688,high,,
10,-122.89749999922796,48.494722221994216,67.698524,1.1206781,62.654285,0.5334778,1.0,0.973437362278666,0.978749889822933,west,48.0_-123.0,0.9370424644631222,high,,
11,-121.89749999815218,47.647499998860575,35.737965,0.45580253,62.798992,0.16100502,1.0,0.9691091223113524,0.975287297849082,west,48.0_-122.0,0.9246494811129932,high,,
12,-122.49472222101689,45.38361110753624,56.38904,0.14636016,156.61247,0.17569542,1.0,0.9614734824312282,0.9691787859449824,west,45.0_-122.0,0.9027864701393468,high,,
13,-123.06416666607392,48.564166666513366,50.842,1.4619579,148.40175,0.5501647,1.0,0.9592742783834702,0.9674194227067764,west,49.0_-123.0,0.8964895227997303,high,,
14,-122.48083333211306,45.66138888561285,60.711117,0.28770295,94.91865,0.106871605,1.0,0.953026516701879,0.9624212133615032,west,46.0_-122.0,0.8786004022610682,high,,
15,-117.80027777152226,47.95305555474484,571.0890502929688,0.0,0.0,0.0,1.0,0.758363123342829,0.8066904986742631,east,48.0_-118.0,0.814104858318467,improved (AUC 0.846),0.5195,0.7056
16,-117.3558333265997,47.92527777693718,568.8798217773438,0.0,0.0,0.0,1.0,0.758363123342829,0.8066904986742631,east,48.0_-117.0,0.814104858318467,improved (AUC 0.846),0.4819,0.6711
17,-122.98083333265096,44.48083332878728,88.6883,0.23613505,68.93269,0.105690956,1.0,0.9138336603521772,0.931066928281742,west,44.0_-123.0,0.7663800956574846,high,,
18,-120.53638888557684,42.68916666019317,1324.808837890625,0.9350698590278624,225.19598388671875,0.3772735595703125,1.0,0.7198795839741966,0.7759036671793573,east,43.0_-121.0,0.656511917725492,improved (AUC 0.846),0.8407,1.0
19,-117.93916666056056,42.46694443773189,1310.0819091796875,0.9515947699546814,252.66749572753903,0.4170379638671875,1.0,0.7101000686984539,0.7680800549587632,east,42.0_-118.0,0.6164640792167915,improved (AUC 0.846),0.6739,0.8471
20,-117.42527777111886,44.550277773306426,779.6712036132812,0.0,0.0,0.0,1.0,0.6835561302336592,0.7468449041869274,east,45.0_-117.0,0.507764687575189,improved (AUC 0.846),0.5238,0.7095
21,-121.18916666405684,47.50861110982227,904.47900390625,0.0,0.0,0.0,1.0,0.6763997450992579,0.7411197960794065,east,48.0_-121.0,0.4784587610453286,improved (AUC 0.846),0.5342,0.719
22,-120.18916666298108,43.64749999455746,1347.22998046875,0.0,0.0,0.0,1.0,0.6763834441326545,0.7411067553061237,east,44.0_-120.0,0.4783920073811984,improved (AUC 0.846),0.6237,0.8011
23,-117.60583332686863,43.286388883057874,1351.913330078125,0.0,0.0,0.0,1.0,0.6763834441326545,0.7411067553061237,east,43.0_-118.0,0.4783920073811984,improved (AUC 0.846),0.7191,0.8886
24,-122.89749999922796,47.00861110928438,56.042355,11.348522,342.53772,4.2160378,1.0,0.8063642628285188,0.8450914102628151,west,47.0_-123.0,0.4586646121775693,high,,
25,-117.84194443823375,44.8141666624792,1033.531982421875,0.0,0.0,0.0,1.0,0.6672512851803553,0.7338010281442842,east,45.0_-118.0,0.4409951409061678,improved (AUC 0.846),0.489,0.6776
26,-120.32805555201938,46.91138888695757,605.8772583007812,2.423538446426392,14.078692436218262,1.0852127075195312,1.0,0.6500292737240205,0.7200234189792165,east,47.0_-120.0,0.3704697299679553,improved (AUC 0.846),0.5593,0.742
27,-117.09194443742692,43.09194443840425,1370.81640625,0.8529430031776428,213.89231872558597,0.3924102783203125,1.0,0.6492643145871763,0.719411451669741,east,43.0_-117.0,0.3673371657135604,improved (AUC 0.846),0.8217,0.9826
28,-123.31416666634289,42.99472221607744,188.4565,0.40920508,160.85399,0.15257263,1.0,0.7549308750225189,0.8039447000180151,west,43.0_-123.0,0.3113961789266141,high,,
29,-120.45305555215384,42.16138888184762,1469.892578125,0.8961731195449829,226.6310272216797,0.392364501953125,1.0,0.6310821880348795,0.7048657504279037,east,42.0_-120.0,0.292880012431407,improved (AUC 0.846),0.6164,0.7944
30,-118.92527777273251,46.07805555272776,103.90348052978516,0.0,0.0,0.0,0.4,0.7773048373960535,0.7018438699168428,east,46.0_-119.0,0.2774114821301486,improved (AUC 0.846),0.8228,0.8461
31,-118.00861110507972,46.24472221957372,657.5459594726562,0.9545651078224182,229.537841796875,0.4119873046875,1.0,0.6258263987416725,0.700661118993338,east,46.0_-118.0,0.271357166470708,improved (AUC 0.846),0.5083,0.6952
32,-117.18916665975374,46.38361110861202,561.4581909179688,0.960111916065216,223.7616424560547,0.3869705200195312,1.0,0.6212016222763357,0.6969612978210686,east,46.0_-117.0,0.2524183647202725,improved (AUC 0.846),0.5581,0.7409
33,-120.8002777747496,46.53638888655415,611.1378784179688,0.9742390513420104,223.83604431152344,0.4058456420898437,1.0,0.6208500946582834,0.6966800757266267,east,47.0_-121.0,0.2509788331195571,improved (AUC 0.846),0.5466,0.7304
34,-120.42527777434618,42.66138888238551,1319.153564453125,0.9039862751960754,354.33575439453125,0.374786376953125,1.0,0.6157187833422079,0.6925750266737662,east,43.0_-120.0,0.2299657336836592,improved (AUC 0.846),0.7571,0.9234
35,-118.5502777723291,46.91138888695757,553.1366577148438,2.0414304733276367,286.483642578125,0.9333648681640624,1.0,0.5924179468456678,0.6739343574765343,east,47.0_-119.0,0.1345470845154668,improved (AUC 0.846),0.3951,0.5915
36,-122.02249999828666,44.008611106057046,1462.9344,0.5319489,245.02579,0.23257446,1.0,0.6864181893010058,0.7491345514408048,west,44.0_-122.0,0.1152248529762502,high,,
37,-123.59194444441948,42.27249999307826,410.18777,0.37969995,284.17593,0.14632797,1.0,0.6721756105095296,0.7377404884076237,west,42.0_-124.0,0.0744442947912552,high,,
38,-120.55027777448066,42.17527777075145,1500.6480712890625,0.9388931393623352,183.3004150390625,0.407562255859375,1.0,0.5757655930032758,0.6606124744026207,east,42.0_-121.0,0.0663544636476387,improved (AUC 0.846),0.6387,0.8148
39,-123.3697222219582,42.43916665992423,274.22995,0.19486967,110.68836,0.12295151,1.0,0.6636500633126672,0.7309200506501339,west,42.0_-123.0,0.0500332257980025,high,,
40,-120.8419444414611,43.85583332811491,1334.8160400390625,0.8590267896652222,229.55413818359372,0.3309783935546875,1.0,0.5674859655332559,0.6539887724266047,east,44.0_-121.0,0.0324487766598566,improved (AUC 0.846),0.7251,0.894
41,-123.88361111139992,42.81416666032764,714.1207,1.2407932,81.31755,0.53795624,1.0,0.6461759974259974,0.716940797940798,west,43.0_-124.0,0.0,high,,
42,-117.09194443742692,43.70305555017278,676.6209716796875,0.8495690226554871,203.00030517578125,0.4262771606445312,1.0,0.5595621094940518,0.6476496875952416,east,44.0_-117.0,0.0,improved (AUC 0.846),0.5519,0.7352
